Cores,Mean walltime per step (s),Mean CPU hr per step
428,1.68155813953,0.199918578811
828,0.830651162791,0.191049767442
1600,0.417053488372,0.185357105943
3116,0.240480620155,0.208149336779
6077,0.141365116279,0.238632169897
11935,0.108144186047,0.358528016796
