Cores,Mean walltime per step (s),Mean CPU hr per step
6,0.469316366207,0.000782193943679
12,0.251809826794,0.000839366089313
24,0.129731000353,0.00086487333569
45,0.0707518557794,0.000884398197243
90,0.0430611523507,0.00107652880877
180,0.0273036408625,0.00136518204312
360,0.0223029338989,0.00223029338989
